Filename	Number of alignments	Percent of total reads	Yield (Gb)	Mean Coverage	Yield (Gb) [>25kb]	N50	N75	Median length	Mean length	Median identity	Mean identity	Median mapping Q score	Mean mapping Q score
Chile_404.sorted_meth.bam	7876502	77.57	147.44	47.56	65.65	23260	16395	16935.00	18718	99.47	97.80	22.76	16.58
Chile_406.sorted_meth.bam	7979478	79.30	136.99	44.19	59.50	22359	14412	14176.00	17168	99.49	97.93	22.92	16.84
Chile_509.sorted_meth.bam	9074650	82.91	120.50	38.87	13.97	16218	13258	13708.00	13278	99.43	97.98	22.44	16.95
Chile_511.sorted_meth.bam	8231650	79.16	134.88	43.51	43.70	19830	14444	15007.00	16385	99.29	97.23	21.49	15.58
Chile_516.sorted_meth.bam	7181316	79.56	132.45	42.73	57.38	22779	16093	16512.00	18443	99.41	97.73	22.29	16.44
Chile_517.sorted_meth.bam	8394786	77.88	136.26	43.96	46.28	20159	14666	14957.00	16231	99.39	97.47	22.15	15.97
Chile_519.sorted_meth.bam	9293788	79.99	138.78	44.77	30.27	17902	13623	14304.00	14932	99.43	97.84	22.44	16.66
Chile_AM.sorted_meth.bam	6884274	76.02	120.23	38.78	48.84	22008	15535	15800.00	17464	99.37	97.65	22.01	16.29
Chile_AV.sorted_meth.bam	8630576	80.02	152.55	49.21	61.93	22263	16038	16351.00	17675	99.40	97.76	22.22	16.5
Chile_CH.sorted_meth.bam	7784985	80.05	135.66	43.76	53.68	21625	15241	15555.00	17425	99.46	97.93	22.68	16.84
Chile_GAV.sorted_meth.bam	8773992	79.62	122.06	39.38	24.07	16944	12832	13298.00	13911	99.36	97.52	21.94	16.06
Chile_IO.sorted_meth.bam	7442872	78.87	118.75	38.31	41.54	20659	14771	14824.00	15954	99.39	97.62	22.15	16.23
Chile_LO.sorted_meth.bam	7049134	77.88	116.86	37.70	42.71	20968	14770	15038.00	16578	99.40	97.53	22.22	16.07
Chile_OC.sorted_meth.bam	8934458	79.10	143.45	46.28	46.51	20046	14536	14942.00	16056	99.44	97.77	22.52	16.52
Chile_P01.sorted_meth.bam	8112482	77.87	140.59	45.35	56.67	22045	15649	15868.00	17330	99.45	97.68	22.6	16.35
